chengyu	pingyin	jieshi	chuchu	lizi
昏头搭脑	hūn tóu dā nǎo	形容头脑昏沉，糊里糊涂。	清·禇人获《隋唐演义》第十一回一个新年里，弄得昏头搭脑，没些清楚。	无
昏头打脑	hūn tóu dǎ nǎo	形容头脑昏沉，糊里糊涂。同昏头搭脑”。	老舍《骆驼祥子》九祥子几乎没有力量迈出大门坎去。昏头打脑的，脚还在门坎内，借着街上的灯光，已看见了刘姑娘。	无
昏天黑地	hūn tiān hēi dì	形容天色昏暗。也比喻社会黑暗混乱。	明·凌濛初《二刻拍案惊奇》卷二十五郑蕊珠昏天黑地，不认得这条路是那里，离家是近是远。	加以象现在的～，你若打开窗子说亮话，还是免不了做牺牲。★鲁迅《两地书》九
昏天暗地	hūn tiān àn dì	形容天色昏暗。也比喻社会黑暗混乱。同昏天黑地”。	明·冯梦龙《喻世明言》第十三卷鬼帅再变五色云雾，昏天暗地。	无
明鼓而攻之	míng gǔ ér gōng zhī	宣布罪状，遣责或声讨。	《论语·先进》非吾徒也，小子鸣鼓而攻之可也。	无
明验大效	míng yàn dà xiào	显著而又巨大的效验。同明效大验”。	无	无
明镜高悬	míng jìng gāo xuán	传说秦始皇有一面镜子，能照人心胆。比喻官员判案公正廉明。	《西京杂记》卷三有方镜，广四尺，高五尺九寸，表里有明，人直来照之，影则倒见。以手扪心而来，则见肠胃五脏，历然无碍。	只除非天见怜，奈天天又远，今日个幸对清官，～。★元·关汉卿《望江亭》第四折
明辨是非	míng biàn shì fēi	分清楚是和非、正确和错误。	《礼记·中庸》慎思之，明辩之，驾行之。	无
明赏不费	míng shǎng bù fèi	赏赐得当，就不浪费财物。	《商君书·赏刑》善因天下之货，以赏天下之人。故曰‘明赏不费。’	无
明见万里	míng jiàn wàn lǐ	对于外界或远方的情况，知道得很清楚。也比喻人有预见。	《后汉书·窦融传》书妪至，河西咸惊，以为天子明见万里之外。	无
明若观火	míng ruò guān huǒ	象看火那样清楚。形容看事物十分明晰。	《书·盘庚上》予若观火。	无
明耻教战	míng chǐ jiào zhàn	教导士兵作战，使他们知道退缩就是耻辱，因而能够奋勇向前，杀敌取胜。	《左传·僖公二十二年》明耻教战，求杀敌也。	无
明罚敕法	míng fá chì fǎ	罚刑罚；敕整饬。严明刑罚，整顿法度。	《周易·噬嗑》雷电噬嗑，先王以明罚敕法。	然后～，以肃理官，克厌天心，慰塞人事。★《晋书·郭璞传》
明窗净几	míng chuāng jìng jī	形容室内明亮、整洁。	宋·欧阳修《试笔》苏子美尝言，明窗净几，笔砚纸墨皆极精良，亦自是人生一乐。	无
明知故问	míng zhī gù wèn	明明知道，还故意问人。	清·无名氏《绣花鞋》明人何必细说。你也知道是谁，却就是明知故问呢！	无
明知故犯	míng zhī gù fàn	明明知道不能做，却故意违犯。	宋·释普济《五灯会元》卷十九问‘一切含灵具有佛性，既有佛性，为甚么却撞入驴胎马腹？’师曰‘知而故犯。’	此物既与人无益，如何令尊伯伯却又栽这许多？岂非～么？★清·李汝珍《镜花缘》第六十一回
明眸皓齿	míng móu hào chǐ	明亮的眼睛，洁白的牙齿。形容女子容貌美丽，也指美丽的女子。	三国魏·曹植《洛神赋》丹唇外朗，皓齿内鲜，明眸善睐，靥辅承权。	～今何在，血污游魂归不得。★唐·杜甫《哀江头》诗
明眸善睐	míng móu shàn lài	形容女子的眼睛明亮而灵活。	三国魏·曹植《洛神赋》丹唇外朗，皓齿内鲜，明眸善睐，靥辅承权。	无
明目达聪	míng mù dá cōng	眼睛明亮，耳朵灵敏。形容力图透彻了解。	《书·舜典》 明四目，达四聪”。	当此际者，正宜～，励精图治。★清·无名氏《杜诗言志》卷五
明目张胆	míng mù zhāng dǎn	明目睁亮眼睛；张胆放开胆量。原指有胆识，敢做敢为◇形容公开放肆地干坏事。	《晋书·王敦传》今日之事，明目张胆，为六军之首，宁忠臣而死，不无赖而生矣。	近日京师奔竞之风，是～，冠冕堂皇做的。★清·吴趼人《二十年目睹之怪现状》第三一百三回
明白了当	míng bái liǎo dàng	形容说话或做事干净利落。	无	无
明珠暗投	míng zhū àn tóu	原意是明亮的珍珠，暗里投在路上，使人看了都很惊奇。比喻有才能的人得不到重视。也比喻好东西落入不识货人的手里。	《史记·鲁仲连邹阳列传》臣闻明月之珠，夜光的璧，以暗投于道路，人无不按剑相眄者∥则？无因而至前也。	又在扬州商家见有虞山客携送黄杨翠柏各一盆，惜乎～。★清·沈复《浮生六记·闲情记趣》
明珠投暗	míng zhū tóu àn	比喻有才能的人得不到重视。也比喻好东西落入不识货人的手里。同明珠暗投”。	无	无
明珠弹雀	míng zhū tán què	用珍珠打鸟雀。比喻得到的补偿不了失去的。	汉·扬雄《太玄经·唐》明珠弹于飞肉，其得不复。测曰明珠弹肉，费不当也。	无
明火持杖	míng huǒ chí zhàng	形容公开抢劫或肆无忌惮地干坏事。同明火执仗”。	无	无
明火执械	míng huǒ zhí xiè	形容公开抢劫或肆无忌惮地干坏事。同明火执仗”。	无	无
明火执杖	míng huǒ zhí zhàng	点着火把，拿着武器。原指公开抢劫◇比喻公开地、毫不隐藏地干坏事。	元·无名氏《盆儿鬼》第二折我在这瓦窑居住，做些本份生涯，何曾明火执仗 ，无非赤手求财。	并非～，怎么便算是强盗呢？★清·曹雪芹《红楼梦》第一百一十回
明火执仗	míng huǒ zhí zhàng	明点明；执拿着；仗兵器。点着火把，拿着武器。形容公开抢劫或肆无忌惮地干坏事。	元·无名氏《盆儿鬼》第二折我在这瓦窑居住，做些本份生涯，何曾明火执仗 ，无非赤手求财。	有一夜，无端被强盗～的抢了进来。★清·吴趼人《二十年目睹之怪现状》第29回
明法审令	míng fǎ shěn lìng	审谨慎。申明法令，使人人遵守，谨慎发布命令，避免出现差错。	无	无
明正典刑	míng zhèng diǎn xíng	明表明；正治罪；典刑法律。依照法律处以极刑。旧时多用于处决犯人的公文或布告中。	宋·吕颐浩《辞免赴召乞纳节致仕札子》如是托疾，自当明正典刑；如委实抱病，伏望天慈，放臣闲退。	无
明查暗访	míng chá àn fǎng	明里调查，暗中访问。指多方面调查了解情况。	清·刘鹗《老残游记》第18回差你往齐东村明查暗访，这十三条命案是否服毒？	无
明枪暗箭	míng qiāng àn jiàn	比喻种种公开的和隐蔽的攻击。	鲁迅《三闲集·通信》现在正有许多正人君子和革命文学家，用明枪暗箭，在办我革命及不革命之罪。	无
明枪易躲，暗箭难防	míng qiāng yì duǒ，àn jiàn nán fáng	明处来的枪容易躲开，暗中射来的箭难以提防。比喻种种公开的和隐蔽的攻击。	元·无名氏《独角牛》孩儿也，一了说明枪好躲，暗箭难防。	～，不如跳入水内浮出去罢。（明·无名氏《闹铜台》）
明枪容易躲，暗箭最难防	míng qiāng róng yì duǒ，àn jiàn zuì nán fáng	指公开攻击容易对付，暗地陷害劫难于防备。同明枪好躲，暗箭难防”。	无	无
明枪好躲，暗箭难防	míng qiāng hǎo duǒ，àn jiàn nán fáng	指公开攻击容易对付，暗地陷害劫难于防备。亦作明枪易躲，暗箭难防”。	无	无
明来暗往	míng lái àn wǎng	公开或暗地里来往。形容关系密切，往来频繁。	无	他们～地进行非法交易，胆大妄为。
明月清风	míng yuè qīng fēng	只与清风、明月为伴。比喻不随便结交朋友。也比喻清闲无事。	《南史·谢惠传》入吾室者，但有清风；对吾饮者，惟当明月。	无
明月入怀	míng yuè rù huái	比喻人心胸开朗。	南朝宋·鲍照《代淮王》诗朱城九门门九闺，愿逐明月入君怀。	无
明昭昏蒙	míng zhāo hūn méng	昭明白；蒙愚昧无知。聪明而通晓事理，愚昧而不明事理。	唐·韩愈《独孤申叔哀辞》众万之生，谁非天邪？明昭昏蒙，谁使然邪？	无
明明赫赫	míng míng hè hè	形容光亮夺目，声势显赫。	《诗·大雅·大明》明明在下，赫赫在上。	无
明明白白	míng míng bái bái	清清楚楚，明确无误；正大光明。	明·施耐庵《水浒传》第45回账目已明明白白，并无分文来去。	但须不设暗计，～，有手段平空拿我，吾即拜降。★《杨家将演义》第13回
明日黄花	míng rì huáng huā	黄花菊花。原指重阳节过后逐渐萎谢的菊花◇多比喻过时的事物或消息。	宋·苏轼《九日次韵王巩》诗相逢不用忙归去，明日黄花蝶也愁。	过时之物，曰～。★宋·胡继宗《书言故事·花木类》
明教不变	míng jiào bù biàn	教令明确，让老百姓有所适从，便不会发生变乱。	《商君书·赏刑》夫明赏不费，明刑不戮，明教不变，而民知于民务，国无异俗。	无
明效大验	míng xiào dà yà	显著而又巨大的效验。	《汉书·贾谊传》是非其明效大验邪？	无
明推暗就	míng tuī àn jiù	表面上推拒，暗地里接受。形容装腔作势、假意拒绝的样子。	清·李渔《慎鸾交·债饵》那老婆子走来央求我，被我故意作难，说了几句明推暗就的话，少不得我前脚走到，他后脚自会赶来。	无
明抢暗偷	míng qiǎng àn tōu	公开抢劫，暗中偷盗。	碧野《大巴山人》最使她痛恨的是，有些坏人滥伐森林，把木材明抢暗偷运出山去贩卖。	无
明扬侧陋	míng yáng cè lòu	侧陋之地位低下而才德兼备的贤人。明察荐举出身微贱而德才兼备的人。	《尚书·尧典》明明，扬侧陋。	～，简能而任，是许多怀才不遇之人期盼的人生际遇。
明扬仄陋	míng yáng zè lòu	明察荐举出身微贱而德才兼备的人。同明扬侧陋”。	无	无
明心见性	míng xīn jiàn xìng	①佛教语。指屏弃世俗一切杂念，彻悟因杂念而迷失了的本性（即佛性）。②指率真地表现心性。	无	无
明德惟馨	míng dé wéi xīn	明德美德；惟是；馨散发的香气。真正能够发出香气的是美德。	《尚书·君陈》至治馨香，感于神明。黍稷非馨，明德惟馨。	知几其神乎！古人以为难。交疏吐诚，今人以为难。今君一面尽二难之道，可谓～。★南朝宋·刘义庆《世说新语·规箴》
明廉暗察	míng lián àn chá	犹言明察暗访。指用各种方法进行调查研究。	无	无
明察秋毫，不见舆薪	míng chá qiū háo，bù jiàn yú xīn	目光敏锐，可以看清鸟兽的毫毛，而看不到一车柴草。比喻为人精明，只看到小节，看不到大处。	先秦·孟轲《孟子·梁惠王上》明足以察秋毫之末，而不见舆薪，则王许之乎？	无
明察秋毫之末，而不见舆薪	míng chá qiū háo zhī mò，ér	眼力能看到一根毫毛的末梢，而看不到一车柴草。比喻只看到小处，看不到大处。	《孟子·梁惠王上》明足以察秋毫之末，而不见舆薪，则王许之乎？	无
明察秋毫	míng chá qiū háo	明察看清；秋毫秋天鸟兽身上新长的细毛。原形容人目光敏锐，任何细小的事物都能看得很清楚◇多形容人能洞察事理。	《孟子·梁惠王上》明足以察秋毫之末，而不见舆薪，则王许之乎？	余忆童稚时，能张目对日，～，见藐小微物，必细察其纹理。★清·沈复《浮生六记·闲情记趣》
明察暗访	míng chá àn fǎng	从明里细心察看，从暗里询问了解。指用各种方法进行调查研究。	清·吴趼人《痛史》第十一回我住在此处，徒占一席，于事无济，倒不如仍然到外面去，明察暗访。	无
明媒正礼	míng méi zhèng lǐ	犹言明媒正娶。旧指正式婚姻。	无	无
明媒正娶	míng méi zhèng qǔ	明、正形容正大光明。旧指正式婚姻。	明·冯梦龙《古今小说》卷一论起初婚，王氏在前，只因休了一番，这平氏到是明媒正娶，又且平氏年长一岁，让平氏为正房，王氏反做偏房，两个姐妹相称。	无
明婚正配	míng hūn zhèng pèi	指经过正式手续的婚姻，现指符合婚姻法规定的合法婚姻。	元·杨显之《潇湘雨》第四折你小姐元是我崔文远明婚正配许与侄儿崔通的。	后来虽然做了亲，元不是～。★明·冯梦龙《二刻拍案惊奇》第11卷
明婚正娶	míng hūn zhèng qǔ	指经过正式手续的婚姻，现指符合婚姻法规定的合法婚姻。	元·关汉卿《救风尘》第四折那里是明婚正娶，公然的伤风败俗。	那曹家女子，或者说是～，又且结发在先。★清·李渔《凰求凤·作难》
明如指掌	míng rú zhǐ zhǎng	形容对情况非常清楚，好象指着自己的手掌给人看。	无	无
明堂正道	míng táng zhèng dào	犹言正式；公开；堂堂正正。同明公正气”。	无	无
明哲保身	míng zhé bǎo shēn	明智的人善于保全自己。现指因怕连累自己而回避原则斗争的处世态度。	《诗·大雅·焌民》既明且哲，以保其身，夙夜匪懈，以事一人。	高节更只能造就一些～的自了汉，甚至于一些虚无主义者。★朱自清《论气节》
明发不寐	míng fā bù mèi	明发破晓，天色发亮；寐昨。通宵未睡。	《诗·小雅·小宛》明发不寐，有怀二人。	无
明升暗降	míng shēng àn jiàng	指表面上升官，而实际上被削去权力。	清·李宝嘉《官场现形记》第36回就是再添一千个都老爷，也抵不上两个监督、一个织造的好这叫做‘明升暗降’。	明眼人可以看出你这是～的把戏。
明刑弼教	míng xíng bì jiào	弼辅助。用刑法晓喻人民，使人们都知法、畏法而守法，以达到教化所不能收到的效果。	《尚书·大禹漠》明于五刑，以弼五教，期于予治。	～，道尊老氏。★唐·张说《起义堂颂》
明刑不戮	míng xíng bù lù	指刑罚严明，人民就很少犯法而被杀。	《商君书·赏刑》故禁奸止过，莫若重刑；刑重而必得，则民不敢试，故国无刑民。国无刑民，故曰‘明刑不戮。’	无
明公正道	míng gōng zhèng dào	犹言正式；公开；堂堂正正。同明公正气”。	无	无
明公正气	míng gōng zhèng qì	犹言正式；公开；堂堂正正。	无	无
明公正义	míng gōng zhèng yì	犹言正式；公开；堂堂正正。同明公正气”。	无	无
明光锃亮	míng guāng zèng liàng	指光亮耀眼。同明光烁亮”。	无	无
明光铮亮	míng guāng zhēng liàng	指光亮耀眼。同明光烁亮”。	无	无
明光烁亮	míng guāng shuò liàng	指光亮耀眼。	无	无
明修栈道，暗渡陈仓	míng xiū zhàn dào，àn dù chén cāng	比喻用一种假象迷惑对方，实际上却另有打算。	元·无名氏《暗度陈仓》第二折着樊哙明修栈道，俺可暗度陈仓古道。这楚兵不知是智，必然排兵在栈道守把。俺往陈仓古道抄截，杀他个措手不及也。	孤家用韩信之计，明修栈道，～，攻定三秦，动取五国。★元·无名氏《气英布》第一折
明修栈道，暗度陈仓	míng xiū zhàn dào，àn dù chén cāng	指刘邦将从汉中出兵攻项羽时，故意明修栈道，迷惑对方，暗中绕道奔袭陈仓，取得胜利。陈仓，古县名，在今陕西省宝鸡市东。	元·无名氏《暗度陈仓》第二折着樊哙明修栈道，俺可暗度陈仓古道。这楚兵不知是智，必然排兵在栈道守把。俺往陈仓古道抄截，杀他个措手不及也。	无
明人不做暗事	míng rén bù zuò àn shì	心地光明的人不做偷偷摸摸的事。	元·吴昌龄《张天师》第三折常言道'明人不做那暗事'，则俺这闭月羞花绝代姿，到如今自做出自当之，妆甚的谎子！	～，您这样叫我们小孩子瞧着也不好！★冰心《冬儿姑娘》
明争暗斗	míng zhēng àn dòu	明里暗里都在进行争斗。形容各用心思，互相排挤。	巴金《家》三明明是一家人，然而没有一天不在明争暗斗。	无
昌言无忌	chāng yán wú jì	昌言原指善言，引伸为直言。敢于直言，无所顾忌。	清·汪琬《答李举人论以史证经书》昌言无忌，希赐裁答。	无
昌歜羊枣	chāng chù yáng zǎo	据传周文王嗜昌歜，春秋鲁曾点嗜羊枣◇用以指人所偏好之物。	宋·苏轼《答李端叔书》不肖为人所僧，而二子独喜见誉，如人嗜昌歜羊枣，未易诘其所以然者。	无
昌亭旅食	cháng tíng lǚ shí	寄食南昌亭长处。借指寄人篱下。	唐·王勃《白下驿饯别唐少府》诗下驿穷交日，昌亭旅食年。	无
昌亭之客	cháng tíng zhī kè	下乡（属江苏省淮阴市）南昌亭长的食客。原指汉淮阴侯韩信◇以借指怀才未遇而暂寄人篱下者。	《汉书·韩信传》韩信，淮阴人。家贫无行，不得推择为吏……从下乡南昌亭长食。	若使恩裁口腹，空留安邑之宾；惠阙始终，取恨～。★唐·王勃《为人与蜀城父老第二书》
昊天罔极	hào tiān wǎng jí	原指天空广大无边，后比喻父母的恩德极大。	《诗经·小雅·蓼莪》欲报之德，昊天罔极。	亏得祖父抚养成人，以有今日！这～之恩，无从补报万一，思之真是令人愧恨欲死！★清·吴趼人《二十年目睹之怪现状》第七十四回
昊天不吊	hào tiān bù diào	指苍天不怜悯保佑◇以之为哀悼死者之辞。	语出《诗·小雅·节南山》不吊昊天，不宜空我师”。朱熹集传吊，愍。	九族咸育于仁，四海仰遵其化。～，景命靡融。★《元史·后妃传一·庄懿慈圣皇后》
昆弟之好	kūn dì zhī hǎo	昆哥哥。像兄弟一样要好。	明·冯梦龙《东周列国志》第九十二回今秦楚嫁女娶妇，结昆弟之好，三晋莫不悚惧，争献地以事秦。	无
昆山片玉	kūn shān piàn yù	昆仑山上的一块玉。原是一种谦虚的说法，意思是只是许多美好者当中的一个，后比喻许多美好事物中突出的。	《晋书·鄐诜传》臣举贤良对策，为天下第一，犹桂林之一枝，昆山之片玉。	无
昆山之玉	kūn shān zhī yù	昆山昆仑山。昆仑山的美玉。比喻杰出的人才。	无	无
昃食宵衣	zè shí xiāo yī	入夜才吃晚饭，天不亮就穿衣起床。指勤于政务。	南朝陈徐陵《陈文皇帝哀册文》勤民听政，昃食宵衣。	无
昂首阔步	áng shǒu kuò bù	昂仰，高抬。抬起头迈开大步向前。形容精神抖擞，意气风发。	老舍《鼓书艺人》二十四新郎昂首阔步，在他身边迈着鸭子步，为的是显摆他那马靴和银马刺。	无
昂首望天	áng shǒu wàng tiān	仰起头，望着天。喻指眼光向上，作风浮泛，不肯放下架子、深入基层。	清·归庄《王大痴像赞》昂其首，睅其目，举觞而望青天者，是为王大痴。	要做这件事，第一是眼睛向下，不要只是～。★毛泽东《〈农村调查〉的序言和跋》
昂首挺胸	áng shǒu tǐng xiōng	抬起头，挺起胸膛。形容斗志高，士气旺。	欧阳予情《小英姑娘》她伸开两手昂首挺胸，狂了似的往外跑。	个个视死如归，坚贞不屈，～站在那里。王之燕同志领头高呼起口号。★《上饶集中营·浩气长存》
昂首天外	áng shǒu tiān wài	抬起头望着天边。形容态度傲慢，或做事脱离实际。	清·归庄《王大痴像赞》昂其首，睅其目，举觞而望青天者，是为王大痴。	某些人做事不从实际出发，往往～。
昂首伸眉	áng shǒu shēn méi	伸扬。抬头扬眉。形容意气昂扬的样子。	汉·司马迁《报任少卿书》乃欲仰首伸眉，论列是非，不亦轻朝廷，羞当世之士耶！	他们获得了比赛的胜利，～地回来了。
昂霄耸壑	áng xiāo sǒng hè	昂高；壑峪。高出霄汉，耸立山壑。形容才能杰出，建树宏大功业。也形容志气高昂，胸怀广阔。	宋·陆游《剑南诗稿·凌霄花》卷三十四古来豪杰少人知，昂霄耸壑宁自期。	昔余识夫人之子稚年，固已得其～之气。★宋·陈亮《祭叶正则母夫人文》
昂藏七尺	áng zàng qī chǐ	昂藏登记表雄伟、气度不凡的样子；七尺七尺高的身躯。指轩昂伟岸的男子汉。	清·赵翼《放歌》徒负昂藏七尺身，实只太仓一稊米。	无
昂然自若	áng rán zì ruò	形容气宇轩昂满不在乎的样子。	蔡东藩《民国通俗演义》第31回昂然自若，并不畏缩。	无
昂然自得	áng rán zì dé	自得自己感到舒适。指大模大样，满不在乎的样子。	宋·欧阳修《与高司谏书》今乃不然，反昂然自得，了无愧畏。	无
昂然直入	áng rán zhí rù	昂首挺胸地径直走进去。形容傲然威武的样子。	明·罗贯中《三国演义》第三回何进昂然直入。	无
昂昂自若	áng áng zì roò	昂昂气概昂扬，大模大样；自若象平常一样。形容无所顾虑，从容自如。	明·冯梦龙《古今小说·晏平仲二桃杀三士》三士带剑立于殿下，昂昂自若。	无
昂头阔步	áng tóu kuò bù	昂仰，高抬。抬起头迈开大步向前。形容精神备发或态度傲慢。参见昂首阔步”。	方志敏《可爱的中国》他们昂头阔步，带着一种藐视中国人不屑与中国人为伍的神气，总引起我心里的愤愤不平。	无
昂头挺胸	áng tóu tǐng xiōng	抬起头，挺起胸膛。形容斗志高，士气旺。参见昂首挺胸”。	语出欧阳予情《小英姑娘》她伸开两手昂首挺胸，狂了似的往外跑。	你看！提到内战，就连妇人女子都反对啦……”～，老老师欣喜地叫出来。★沙汀《范老老师》
昂头天外	áng tóu tiān wài	昂抬起。抬起头望着天边。形容态度傲慢或做事脱离实际。	鲁迅《书信集·致萧军、萧红》他们昂头天外，评论之后，不知那里去了。	无
旷达不羁	kuàng dá bù jī	旷达心胸开阔，想得开；不羁不受束缚。心胸开阔达观，不受拘束。	《晋书·张翰传》翰任心自适，不求当世。或谓之曰‘卿乃可纵适一时，独不为身后名邪？’答曰‘使我有身后名，不如即时一杯酒，’时人贵其旷达。	无
旷若发蒙	kuàng ruò fā méng	旷空旷；开阔。蒙眼睛失明。眼前突然开阔明朗，好像双目失明的人忽然看见了东西。亦比喻使人头脑忽然开窍，明达起来。	三国·魏·应璩《与从弟君苗君胄书》闲者此游，喜欢无量，登芒济河，旷若发蒙。	忽奉手笔，～。★宋·苏轼《与佛印禅师书》
旷日长久	kuàng rì cháng jiǔ	历时长久，久经时日。	汉·司马迁《史记·秦始皇本纪》是以君子为国，观之上古，验之当世，参以人事，察盛衰之理，审权势之宜，去就有序，变化有时，故旷日长久而社稷安矣。	无
旷日经年	kuàng rì jīng nián	久经时日。	汉·班固《汉书·郊祀志下》旷日经年，靡有毫厘之验，足以揆今。	无
旷日经久	kuàng rì jīng jiǔ	犹言旷日持久。	唐·韩愈《省试学生代斋郎议》自非天姿茂异，旷日经久，以所进业发闻于乡闾……则不可得而齿乎国学矣。	无
旷日累时	kuàng rì lěi shí	累积累∧费时日，拖延很久。	宋·曾巩《为人后议》今世议者纷纷，至于旷日累时，不知所决者，盖由不考于礼，而率其私见也。	无
旷日积晷	kuàng rì jī guǐ	久经时日。	明·张居正《种莲子戊午稿序》若旷日积晷，则铅刀效于一割，驽马可致千里。故曰兵宁拙速，未睹巧之迟也。	无
旷日离久	kuàng rì lí jiǔ	耗费时日，拖延很久。犹言旷日持久。	《韩非子·说难》夫旷日离久，而周泽既渥，深计而不疑，引争而不罪，则明割利害以致其功，直指是非以饰其身，以此相持，此说之成也。	无
旷日持久	kuàng rì chí jiǔ	旷荒废，耽误。荒废时间，拖得很久。	《战国策·赵策四》今得强赵之兵，以杜燕将，旷日持久，数岁，令士大夫余子之力，尽于沟垒。	这厮们死守不出，便要～。★清·陈忱《水浒后传》第十八回
旷日弥久	kuàng rì mí jiǔ	旷耽搁荒废。指时间拖得很久。	《战国策·赵策三》太子丹曰‘太傅这计，旷日弥久，心惛然，恐不能须臾。’	无
旷日引月	kuàng rì yǐn yuè	引迁延。历时长久。同旷日引久”。	宋·朱熹《与黄枢密书》旷日引月，不闻进发之期。	无
旷日引久	kuàng rì yǐn jiǔ	引迁延。历时长久。	《汉书·严助传》旷日引久，士卒劳倦。	既除丧矣，而继以疾病，又念心之曲折，造次不足以自达，故～，而阙然不即叙感，实冀宽大仁明有以容而察之而已。★宋·王安石《上富相公书》
旷心怡神	kuàng xīn yí shén	舒畅心胸，愉悦精神。	明·沈榜《宛署杂记·古墨斋》得其片言只字，自令旷心怡神，非必商彝周鼎之为宝也。	无
旷夫怨女	kuàng fū yuàn nǚ	旷夫大龄而未娶妻室的男子；怨女大龄而未嫁人的女子。指年龄已大，尚未婚配的男女。	《孟子·梁惠王下》内无怨女，外无旷夫。	他两个正是～，相见如饿虎逢羊，苍蝇见血，那有工夫问名叙礼。★明·冯梦龙《喻世明言》第二十三卷
旷古绝伦	kuàng gǔ jué lún	旷古古来所无；绝伦超过同辈。空前未有，超出一般。	《北史·赵彦深传》彦深小心恭慎，旷古绝伦。	无
旷古未闻	kuàng gǔ wèi wéi	旷古自古以来。自古以来没有听说过。	《诗经·周颂·敬之》孔颖达疏人臣而代天子，旷世也所罕闻。	吴江阙大尹接得南阳卫文书，拆开看时，深以为奇。此事～。★明·冯梦龙《警世通言》卷三十四
旷古未有	kuàng gǔ wèi yǒu	旷古自古以来所没有的。自古以来从来不曾有过。形容极为罕见。	《北齐书·王纮传》冒死效命之士反见屠戮，旷古未有此事。	臣受殿下隆礼深恩，～，虽肝脑涂地，不能补报。★清·夏敬渠《野叟曝言》第八十八回
旷古奇闻	kuàng gǔ qí wén	旷古自古所没有的。自古以来从未听到过的奇异事情。	无	这真是旷古奇闻，要不是亲眼所见，我还不会相信。
旷古一人	kuàng gǔ yī rén	旷古空前；从古到今。自古以来只此一人。形容绝无仅有。	五代·王定保《唐摭言·以其人不称才试而后惊》北面而师之者，可谓旷古一人而已！	无
旷世逸才	kuàng shì yì cái	旷世绝代；空前。逸才超人的才智。当代少见的出众的才能。	明·罗贯中《三国演义》第九回伯喈旷世逸才，若使续成汉史，诚为盛事。	无
旷世无匹	kuàng shì wú pǐ	匹相当。独一无二，异常出色。	清·蒲松龄《聊斋志异·狐梦》至夜，焚香坐伺，妇果携女至。态度娴婉，旷世无匹。	无
旷世奇才	kuàng shì qí cái	旷世当代没有能相比的。指当代少见的奇才。	明·屠隆《彩毫记·祖饯都门》李公旷世奇才，正宜匡扶社稷。	无
时隐时见	shí yǐn shí jiàn	隐隐没。见同现”；出现。有时隐没，有时出现。远处事物忽明忽暗。	无	无
时运亨通	shí yùn hēng tōng	指时运好，诸事顺利。	无	无
时运不齐	shí yùn bù jì	齐同济”。遭遇逆境，命运不好。亦作时运不济”。	唐·王勃《滕王阁诗序》怀帝阍而不见，奉宣室以何年。嗟乎！时运不齐，命途多舛。	无
时运不济	shí yùn bù jì	时机和命运不佳。	明·凌濛初《二刻拍案惊奇》卷十九先对莫翁道‘寄儿蒙公公相托，一向看牛不差。近来时运不济，前日失了两牛，今蹇驴又生病，寄儿看管不来。’	有一次他替一位病妇半夜里去请医生，医生困眼朦胧的下错了药，而人们全埋怨赵四～至于把有名的医生连累的下错了药！★老舍《老张的哲学》第二九
时过境迁	shí guò jìng qiān	迁变动。随着时间的推移，情况发生变化。	蔡东藩、许廑父《民国演义》第一０六回凡我国民，应尽吾雪耻这天职，并望勿为五分钟之热度，时过境迁，又复忘怀，则吾国真不救矣。	无
时诎举赢	shí qū jǔ yíng	在困难的时候而做奢侈的事情。同时绌举赢”。	无	无
时至运来	shí zhì yùn lái	时机来了，运气也有了转机。指由逆境转为顺境。	南朝·宋·颜延之《大筮箴》时至运来，当在三五。	无
时绌举赢	shí chù jǔ yíng	在困难的时候而做奢侈的事情。	《史记·韩世家》往年秦拔宜阳，今年旱，昭侯不以此时恤民之急，而顾益奢，此谓时绌举赢。	无
时绌举盈	shí chù jǔ yíng	绌不足、不够。盈有余、多余。当衰败之时，而强作奢侈之事。盈，通赢”。同时绌举赢”。	清·吕留良《与董方白书》度所费不下数千金，时绌举盈，极为民害。	无
时移势迁	shí yí shì qiān	时候不同，情况也发生了变化。	《旧五代史·唐书·武皇纪下》然则君臣无常位，陵谷有变迁，或棰塞长河，泥封函谷，时移世改，理有万珠。	说甚么宦室门楣，寒士寻常，望若云霄；～，为地覆天翻，君去民逃。（元·施惠《幽闺记·招商谐偶》）
时移势易	shí yí shì yì	指时代、情势等都已发生变化。	清·杭世骏《质疑·诸史》时移势易，踵事增华，亦不得独罪商君矣。	无
时移俗易	shí yí sú yì	移变动；易改换。时代变了，社会风气也变了。	《淮南子·齐俗训》时移则俗易。”汉·刘向《说苑·杂言》今夫世异则事变，事变则时移，时移则俗易。	无
时移世易	shí yí shì yì	时代变迁，世事也不一样。	无	无
时移世异	shí yí shì yì	那个时间已经过去，世情或处境也都发生了变化。	无	无
时移世变	shí yí shì biàn	时代变迁，世事也不一样。同时易世变”。	唐·白居易《唐淮南节度使李公家庙碑铭序》朝当晏驾，时移世变，遂出掾高要，佐浔阳。	无
时清海宴	shí qīng hǎi yàn	时世清平，四方安定。	《敦煌曲子词·献忠心》时清海宴定风波，恩光六塞，瑞气遍山坡。	无
时殊风异	shí shū fēng yì	时时代。风风俗。殊、异不同。时代不同，风俗也不同。	无	无
